GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,Display Value,Numeric Value,Low Value,High Value,Comments
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,AFG,Afghanistan, 5 600 [3 100-17 000],5600,3100,17000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,190 000 [140 000-300 000],190000,140000,300000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,ARG,Argentina,92 000 [75 000-110 000],92000,75000,110000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,ARM,Armenia, 3 600 [2 100-7 000],3600,2100,7000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,BEL,Belgium,20 000 [16 000-26 000],20000,16000,26000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,BEN,Benin,55 000 [48 000-63 000],55000,48000,63000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,BFA,Burkina Faso,94 000 [84 000-120 000],94000,84000,120000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,BGD,Bangladesh, 7 700 [4 800-16 000],7700,4800,16000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BOL,Bolivia (Plurinational State of),16 000 [8 200-29 000],16000,8200,29000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BRA,Brazil,470 000 [410 000-550 000],470000,410000,550000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,BRB,Barbados, 1 400 [1 100-1 700],1400,1100,1700,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,SEAR,South-East Asia,BTN,Bhutan, 1 200 [<1000-2 500],1200,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,CHL,Chile,50 000 [34 000-73 000],50000,34000,73000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,WPR,Western Pacific,CHN,China,771 000 [610 000-930 000],771000,610000,930000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,CIV,C?te d'Ivoire,300 000 [270 000-340 000],300000,270000,340000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,CMR,Cameroon,490 000 [460 000-530 000],490000,460000,530000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,COD,Democratic Republic of the Congo,É,,,,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,CRI,Costa Rica, 8 700 [7 100-10 000],8700,7100,10000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,CUB,Cuba,14 000 [12 000-16 000],14000,12000,16000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,CZE,Czech Republic, 2 100 [1 800-2 300],2100,1800,2300,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EUR,Europe,DEU,Germany,73 000 [66 000-82 000],73000,66000,82000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AMR,Americas,ECU,Ecuador,33 000 [16 000-81 000],33000,16000,81000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,EGY,Egypt, 9 400 [5 500-18 000],9400,5500,18000,
HIV_0000000002,Number of adults aged 15 and over living with HIV,PUBLISHED,Published,2011,2011,AFR,Africa,ERI,Eritrea,19 000 [11 000-45 000],19000,11000,45000,
