COUNTRY,Value,Low Value,High Value
AFG,5600,3100,17000
AGO,190000,140000,300000
ARG,92000,75000,110000
ARM,3600,2100,7000
BEL,20000,16000,26000
BEN,55000,48000,63000
BFA,94000,84000,120000
BGD,7700,4800,16000
BOL,16000,8200,29000
BRA,470000,410000,550000
BRB,1400,1100,1700
BTN,1200,,
CHL,50000,34000,73000
CHN,771000,610000,930000
CIV,300000,270000,340000
CMR,490000,460000,530000
COD,,,
CRI,8700,7100,10000
CUB,14000,12000,16000
CZE,2100,1800,2300
DEU,73000,66000,82000
ECU,33000,16000,81000
EGY,9400,5500,18000
ERI,19000,11000,45000
ESP,150000,130000,160000
GAB,43000,31000,62000
GBR,94000,74000,120000
GEO,4900,2200,7900
GHA,200000,170000,230000
GRC,11000,9500,13000
GTM,62000,18000,270000
GUY,5900,4500,8100
HND,29000,22000,40000
IND,,,
IRL,7800,6200,9700
IRN,96000,79000,120000
ISL,,,
KEN,1400000,1300000,1500000
KGZ,12000,8400,19000
KHM,56000,45000,86000
KOR,15000,12000,19000
LSO,280000,270000,290000
LTU,1400,1100,2000
LUX,,,
LVA,9100,6400,13000
MEX,180000,160000,200000
MLI,92000,70000,120000
MLT,,,
MMR,210000,180000,250000
MYS,80000,70000,88000
NAM,170000,140000,210000
NER,55000,48000,60000
NGA,3000000,2600000,3300000
NZL,2600,2200,3400
OMN,,,
PAK,130000,74000,250000
PAN,17000,11000,28000
PRK,,,
PRT,48000,37000,62000
PRY,12000,5500,31000
ROU,16000,13000,19000
RUS,0,720000,1300000
SLE,44000,35000,64000
SLV,24000,12000,58000
SOM,30000,20000,45000
SRB,3500,2300,5000
SVN,,,
SWE,9100,7100,13000
SWZ,170000,160000,180000
TCD,180000,150000,240000
TUN,1700,1500,1900
TUR,5400,3900,7500
TZA,1300000,1200000,1500000
UGA,1200000,1100000,1300000
UKR,230000,180000,300000
VNM,240000,190000,330000
YEM,20000,17000,24000
ZAF,5100000,4900000,5400000
ZMB,800000,740000,880000
AUS,22000,18000,27000
AUT,17000,13000,24000
AZE,6700,5000,8800
BDI,61000,53000,70000
BGR,3800,2600,5600
BHS,6200,5800,6800
BLR,20000,15000,30000
BLZ,4400,3800,5000
BWA,280000,270000,300000
CAF,110000,75000,120000
CAN,71000,63000,89000
CHE,20000,16000,27000
COG,71000,63000,78000
COL,150000,89000,230000
COM,,,
CPV,2800,2000,3900
DJI,8000,6100,11000
DNK,6100,5300,7200
DOM,41000,35000,47000
DZA,0,12000,28000
EST,9800,8200,12000
ETH,610000,560000,680000
FIN,2900,2500,3500
FJI,,,
FRA,160000,130000,200000
GIN,73000,58000,92000
GMB,12000,6600,25000
GNB,21000,17000,24000
GNQ,17000,15000,26000
HRV,1200,,
HTI,100000,84000,120000
HUN,4100,3100,5200
IDN,370000,230000,560000
ISR,8500,6600,11000
ITA,150000,120000,200000
JAM,29000,23000,38000
JPN,7900,6100,10000
KAZ,19000,17000,23000
LAO,9700,7700,13000
LBN,2700,1800,3900
LBR,20000,16000,27000
LKA,4100,3300,9900
MAR,31000,20000,44000
MDA,14000,12000,17000
MDG,31000,24000,41000
MDV,,,
MNG,,,
MOZ,1200000,1100000,1300000
MRT,22000,12000,39000
MUS,7400,5100,10000
MWI,740000,690000,790000
NIC,7000,3100,18000
NLD,25000,20000,36000
NOR,4500,3500,6200
NPL,47000,30000,96000
PER,70000,36000,190000
PHL,19000,16000,24000
PNG,24000,21000,29000
POL,35000,28000,46000
RWA,180000,160000,220000
SDN,65000,53000,79000
SEN,48000,39000,59000
SGP,3300,2700,4200
SSD,130000,88000,180000
STP,,,
SUR,3100,2200,4900
SVK,,,
TGO,130000,100000,160000
THA,480000,440000,540000
TJK,9900,6200,16000
TTO,13000,12000,14000
URY,12000,5900,33000
USA,1300000,1000000,2000000
UZB,,,
VEN,97000,49000,220000
ZWE,1000000,990000,1100000
AUS,6800,5300,8500
AUT,5200,3900,7200
AZE,1000,,
BDI,38000,33000,44000
BGR,1100,,
BHS,3000,2800,3300
BLR,6400,4600,9300
BLZ,1800,1500,2100
BOL,1200,,
CAF,62000,44000,67000
CAN,13000,12000,16000
CHE,6200,4700,8100
CHL,4800,3200,7200
COG,40000,36000,44000
COL,29000,19000,43000
COM,,,
CPV,2700,1900,3800
DJI,4600,3400,6300
DNK,1600,1400,1900
DOM,24000,20000,28000
DZA,0,3800,8100
ECU,8200,5300,18000
ETH,390000,350000,430000
FIN,,,
FJI,,,
FRA,46000,37000,56000
GIN,41000,33000,52000
GMB,7700,4000,15000
GNB,12000,10000,15000
GNQ,10000,8900,15000
HRV,,,
HTI,61000,50000,71000
HUN,1300,,
IDN,110000,70000,170000
IND,,,
ITA,49000,38000,65000
JAM,10000,8200,13000
JPN,2400,1800,3100
KAZ,7900,7000,9700
LAO,4700,3600,6500
LBN,1300,,
LBR,12000,10000,16000
LKA,1400,1100,3400
MDA,5500,4600,6600
MDG,9500,7400,13000
MDV,,,
MEX,32000,27000,35000
MOZ,750000,670000,850000
MRT,13000,7100,22000
MUS,2200,1500,3100
MWI,430000,410000,470000
NIC,5200,2300,13000
NLD,7500,5900,11000
NOR,1300,1000,1800
NPL,10000,6500,22000
PHL,3500,2800,4200
PNG,12000,10000,14000
POL,9900,7700,13000
PRK,,,
RWA,110000,94000,130000
SDN,22000,18000,28000
SEN,28000,23000,34000
SGP,1000,,
SSD,77000,52000,100000
STP,,,
SUR,1700,1200,2600
SVK,,,
THA,200000,170000,220000
TJK,3500,2200,5800
TTO,6800,6100,7500
TUN,,,
URY,3800,2100,9300
USA,300000,210000,470000
UZB,,,
VEN,25000,14000,54000
ZWE,600000,570000,640000
AFG,1300,,
AGO,120000,83000,180000
ARG,35000,28000,44000
ARM,,,
BEL,5700,4500,7300
BEN,33000,29000,38000
BFA,56000,50000,72000
BGD,,,
BRA,200000,170000,230000
BRB,,,
BTN,,,
BWA,160000,150000,170000
CHN,230600,173800,285100
CIV,170000,150000,200000
CMR,280000,260000,300000
COD,,,
CRI,4300,3500,5100
CUB,2900,2500,3400
CZE,,,
DEU,11000,10000,13000
EGY,1500,,
ERI,12000,6600,27000
ESP,35000,31000,39000
EST,3100,2500,3800
GAB,24000,18000,35000
GBR,29000,23000,36000
GEO,1200,,
GHA,110000,95000,130000
GRC,3300,2800,3900
GTM,26000,7100,120000
GUY,2600,2000,3600
HND,10000,8100,14000
IRL,2400,1900,3000
IRN,13000,11000,16000
ISL,,,
ISR,2600,2000,3500
KEN,800000,760000,840000
KGZ,4200,3000,6700
KHM,31000,24000,49000
KOR,4200,3200,5400
LSO,170000,160000,170000
LTU,,,
LUX,,,
LVA,2800,1900,3900
MAR,15000,10000,22000
MLI,55000,42000,71000
MLT,,,
