COUNTRY,Display Value
AFG, 5 600 [3 100-17 000]
AGO,190 000 [140 000-300 000]
ARG,92 000 [75 000-110 000]
ARM, 3 600 [2 100-7 000]
BEL,20 000 [16 000-26 000]
BEN,55 000 [48 000-63 000]
BFA,94 000 [84 000-120 000]
BGD, 7 700 [4 800-16 000]
BOL,16 000 [8 200-29 000]
BRA,470 000 [410 000-550 000]
BRB, 1 400 [1 100-1 700]
BTN, 1 200 [<1000-2 500]
CHL,50 000 [34 000-73 000]
CHN,771 000 [610 000-930 000]
CIV,300 000 [270 000-340 000]
CMR,490 000 [460 000-530 000]
COD,ƒ
CRI, 8 700 [7 100-10 000]
CUB,14 000 [12 000-16 000]
CZE, 2 100 [1 800-2 300]
DEU,73 000 [66 000-82 000]
ECU,33 000 [16 000-81 000]
EGY, 9 400 [5 500-18 000]
ERI,19 000 [11 000-45 000]
ESP,150 000 [130 000-160 000]
GAB,43 000 [31 000-62 000]
GBR,94 000 [74 000-120 000]
GEO, 4 900 [2 200-7 900]
GHA,200 000 [170 000-230 000]
GRC,11 000 [9 500-13 000]
GTM,62 000 [18 000-270 000]
GUY, 5 900 [4 500-8 100]
HND,29 000 [22 000-40 000]
IND,ƒ
IRL, 7 800 [6 200-9 700]
IRN,96 000 [79 000-120 000]
ISL,<1000 [<500-<1000]
KEN,1 400 000 [1 300 000-1 500 000]
KGZ,12 000 [8 400-19 000]
KHM,56 000 [45 000-86 000]
KOR,15 000 [12 000-19 000]
LSO,280 000 [270 000-290 000]
LTU, 1 400 [1 100-2 000]
LUX,<1000 [<1000-1 100]
LVA, 9 100 [6 400-13 000]
MEX,180 000 [160 000-200 000]
MLI,92 000 [70 000-120 000]
MLT,<500 [<500-<500]
MMR,210 000 [180 000-250 000]
MYS,80 000 [70 000-88 000]
NAM,170 000 [140 000-210 000]
NER,55 000 [48 000-60 000]
NGA,3 000 000 [2 600 000-3 300 000]
NZL, 2 600 [2 200-3 400]
OMN,ƒ
PAK,130 000 [74 000-250 000]
PAN,17 000 [11 000-28 000]
PRK,ƒ
PRT,48 000 [37 000-62 000]
PRY,12 000 [5 500-31 000]
ROU,16 000 [13 000-19 000]
RUS,ƒ [720 000-1 300 000]
SLE,44 000 [35 000-64 000]
SLV,24 000 [12 000-58 000]
SOM,30 000 [20 000-45 000]
SRB, 3 500 [2 300-5 000]
SVN,<1000 [<500-<1000]
SWE, 9 100 [7 100-13 000]
SWZ,170 000 [160 000-180 000]
TCD,180 000 [150 000-240 000]
TUN, 1 700 [1 500-1 900]
TUR, 5 400 [3 900-7 500]
TZA,1 300 000 [1 200 000-1 500 000]
UGA,1 200 000 [1 100 000-1 300 000]
UKR,230 000 [180 000-300 000]
VNM,240 000 [190 000-330 000]
YEM,20 000 [17 000-24 000]
ZAF,5 100 000 [4 900 000-5 400 000]
ZMB,800 000 [740 000-880 000]
AUS,22 000 [18 000-27 000]
AUT,17 000 [13 000-24 000]
AZE, 6 700 [5 000-8 800]
BDI,61 000 [53 000-70 000]
BGR, 3 800 [2 600-5 600]
BHS, 6 200 [5 800-6 800]
BLR,20 000 [15 000-30 000]
BLZ, 4 400 [3 800-5 000]
BWA,280 000 [270 000-300 000]
CAF,110 000 [75 000-120 000]
CAN,71 000 [63 000-89 000]
CHE,20 000 [16 000-27 000]
COG,71 000 [63 000-78 000]
COL,150 000 [89 000-230 000]
COM,<500 [<200-<500]
CPV, 2 800 [2 000-3 900]
DJI, 8 000 [6 100-11 000]
DNK, 6 100 [5 300-7 200]
DOM,41 000 [35 000-47 000]
DZA,ƒ [12 000-28 000]
EST, 9 800 [8 200-12 000]
ETH,610 000 [560 000-680 000]
FIN, 2 900 [2 500-3 500]
FJI,<500 [<200-<500]
FRA,160 000 [130 000-200 000]
GIN,73 000 [58 000-92 000]
GMB,12 000 [6 600-25 000]
GNB,21 000 [17 000-24 000]
GNQ,17 000 [15 000-26 000]
HRV, 1 200 [<1000-1 500]
HTI,100 000 [84 000-120 000]
HUN, 4 100 [3 100-5 200]
IDN,370 000 [230 000-560 000]
ISR, 8 500 [6 600-11 000]
ITA,150 000 [120 000-200 000]
JAM,29 000 [23 000-38 000]
JPN, 7 900 [6 100-10 000]
KAZ,19 000 [17 000-23 000]
LAO, 9 700 [7 700-13 000]
LBN, 2 700 [1 800-3 900]
LBR,20 000 [16 000-27 000]
LKA, 4 100 [3 300-9 900]
MAR,31 000 [20 000-44 000]
MDA,14 000 [12 000-17 000]
MDG,31 000 [24 000-41 000]
MDV,<100 [<100-<100]
MNG,<1000 [<1000-<1000]
MOZ,1 200 000 [1 100 000-1 300 000]
MRT,22 000 [12 000-39 000]
MUS, 7 400 [5 100-10 000]
MWI,740 000 [690 000-790 000]
NIC, 7 000 [3 100-18 000]
NLD,25 000 [20 000-36 000]
NOR, 4 500 [3 500-6 200]
NPL,47 000 [30 000-96 000]
PER,70 000 [36 000-190 000]
PHL,19 000 [16 000-24 000]
PNG,24 000 [21 000-29 000]
POL,35 000 [28 000-46 000]
RWA,180 000 [160 000-220 000]
SDN,65 000 [53 000-79 000]
SEN,48 000 [39 000-59 000]
SGP, 3 300 [2 700-4 200]
SSD,130 000 [88 000-180 000]
STP,<1000 [<1000-1 300]
SUR, 3 100 [2 200-4 900]
SVK,<500 [<500-<1000]
TGO,130 000 [100 000-160 000]
THA,480 000 [440 000-540 000]
TJK, 9 900 [6 200-16 000]
TTO,13 000 [12 000-14 000]
URY,12 000 [5 900-33 000]
USA,1 300 000 [1 000 000-2 000 000]
UZB,ƒ
VEN,97 000 [49 000-220 000]
ZWE,1 000 000 [990 000-1 100 000]
AUS, 6 800 [5 300-8 500]
AUT, 5 200 [3 900-7 200]
AZE, 1 000 [<1000-1 400]
BDI,38 000 [33 000-44 000]
BGR, 1 100 [<1000-1 600]
BHS, 3 000 [2 800-3 300]
BLR, 6 400 [4 600-9 300]
BLZ, 1 800 [1 500-2 100]
BOL, 1 200 [<1000-1 900]
CAF,62 000 [44 000-67 000]
CAN,13 000 [12 000-16 000]
CHE, 6 200 [4 700-8 100]
CHL, 4 800 [3 200-7 200]
COG,40 000 [36 000-44 000]
COL,29 000 [19 000-43 000]
COM,<100 [<100-<200]
CPV, 2 700 [1 900-3 800]
DJI, 4 600 [3 400-6 300]
DNK, 1 600 [1 400-1 900]
DOM,24 000 [20 000-28 000]
DZA,ƒ [3 800-8 100]
ECU, 8 200 [5 300-18 000]
ETH,390 000 [350 000-430 000]
FIN,<1000 [<1000-1 000]
FJI,<200 [<100-<200]
